"tm80487,Spookley the Square Pumpkin,MOVIE,""Dare to be square! In a world where """"The only good pumpkins are round pumpkins!"""" SPOOKLEY THE SQUARE PUMPKIN is often teased by the other pumpkins because of his odd shape. Soon  Spookley is befriended by Edgar  Allan and Poe  three hilarious spiders  who convince Spookley that square or not  he has a right to be the """"Pick of the Patch"""" on Halloween. """"A square pumpkin the Pick of the Patch?"""" Not if mean round pumpkins Big Tom and Little Tom can help it. These two bullies tease and taunt Spookley because of his square roots. Encouraged to continue to become the """"Pick of the Patch"""" by kindly Jack the Scarecrow and his bat sidekicks  Boris and Bella  Spookley isn't sure he has what it takes until a mighty storm threatens to destroy the entire patch. As the storm rolls the round pumpkins uncontrollably across the patch towards the raging river  Spookley realizes """"it's fine to be round while the weather is fair  but there are times it's better to be a square!"""""",2004,G,47,['family'  'animation'],['US'],,,,,3.355,4.6"
"tm35652,Mumbai Meri Jaan,MOVIE,Shortly after 1800 hours  11 July 2006  Mumbai was shattered by seven bomb blasts on Western Railway stations: Matunga  Mahim  Khar  Bandra  Jogeshwari  Borivali  and Bhayandar. It took the Police and ambulance over an hour to attend at various sites. This incident changes lives of Thomas  originally from Chennai  who sells tea from his bike,,,,,,,,,,,"
"tm254745,Frontiers of Dreams and Fears,MOVIE,This heartfelt documentary from award-winning filmmaker Mai Masri explores the enduring friendship that evolves between two Palestinian girls—Mona  who was born and raised in the economically marginalized Shatila refugee camp in Beirut  and Manar  who lives in the Dheisha refugee camp under Israeli control.  The two girls begin their friendship as penpals  sharing the similarities and differences of life in the two refugee camps. Mona and Manar are finally able to meet face-to-face at the Lebanese-Israeli border during Israel's withdrawal from South Lebanon. But when the second intifada suddenly erupts around them shortly thereafter  both girls must face heart-breaking changes in their lives.,2001,,56,['documentation'  'history'],['PS'],,tt0477653,8.3,54.0,0.645,"
"ts82592,The Truth,SHOW,A devious businessman covets his partner's priceless treasure map  while a related murder case calls into question some biological family ties.,2008,TV-14,44,['drama'  'thriller'],['SG'],1.0,tt9233832,,,0.6,"
"tm712151,Laugh Out Loud,MOVIE,The biggest stand-up comedy event ever in South Africa.,2003,,60,['comedy'],['ZA'],,tt0401575,7.0,13.0,,"
"tm98475,We Are Family,MOVIE,Maya is the perfect mother. Her life revolves around her three children  Aleya  Ankush  and Anjali. Who thinks nothing much then the world of her. Despite being divorced from her husband  Aman. Maya has ensured that everything runs smoothly in her house  under her watch  and that they continue to remain a happy family unit. However  when Aman introduces his girlfriend  Shreya a career oriented woman  who has a lot to learn about children's  to the family  the situation immediately takes an unexpected turn. When an incident changes their lives drastically  bringing the two women under the same roof  they find themselves putting to test an unusual situation,,,,,,,,,,,"
"ts98316,Edge of the Universe,SHOW,Leading astronomers reveal the latest discoveries about death-trap planets  asteroids  comets and other wonders of the cosmos.,2002,TV-G,49,['documentation'],['GB'],1.0,tt6951568,7.2,206.0,0.6,"
"tm216753,Old Thieves: The Legend of Artegio,MOVIE,Is the story of a generation of thieves who achieved their greatest victories in the sixties,,,,,,,,,,,"
"ts124246,Mighty Raju,SHOW,A four-year-old Raju receives super human strength when his then pregnant mother accidentally consumes a compound created by his scientist father.,2010,,20,['animation'  'action'],['IN'],4.0,tt6491030,4.2,57.0,1.484,"
"ts12444,The Fierce Wife,SHOW,The Fierce Wife  or The Shrewd Wife in Singapore  is a 2010 Taiwanese drama starring Sonia Sui  Wen Sheng Hao  Chris Wang and Amanda Zhu. It was a TTV and Sanlih E-Television co-presentation  and was directed by Xu Fu Jun. The filming started in October 2010  and was first broadcast on 5 November 2010. It’s been on the air ever since.,,,,,,,,,,,"
"tm87909,Thomas & Friends: Thomas and the Jet Engine,MOVIE,Gordon brags that he's the fastest engine  but gets a surprise when Thomas' cargo  a jet engine  is activated as it's loaded and causes him to shoot down the railway at higher speed than anything either has seen.,2004,G,67,['animation'],[],,,,,2.456,8.0"
